pedido,contem_dados_pessoais
"Me chamo Lúcia Moraes Freitas, portador do CPF 173.559.259-54 e RG 61.206.668-8. Endereço: Quadra L2 Sul, nº 6026, Sudoeste, Brasília-DF - CEP 72516-391. Telefone: (91) 991093-6241. Gostaria de informações.",1
Peço acesso ao projeto executivo da obra Reforma da Escola Pública.,0
"Solicito informações detalhadas sobre o orçamento da Secretaria de Transporte e Mobilidade para o exercício de 2020, incluindo despesas com pessoal e custeio.",0
"Solicito a exclusão dos meus dados pessoais. Nome: Henry Ribeiro Pereira, CPF: 190.020.173-91, RG 13.311.319-9.",1
Peço acesso aos gastos com cartão corporativo da Secretaria de Esporte e Lazer.,0
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Transporte Escolar no ano de 2024.,0
"Sou Francisca Freitas Souza, titular do CPF 535.159.907-47 e título de eleitor nº 125010118897. Gostaria de informações eleitorais.",1
"Solicito informações sobre o processo do meu pai Ingrid Alves Dias, CPF 043.304.835-21, RG 11.004.109-7.",1
Gostaria de obter o relatório de execução orçamentária da Secretaria de Segurança Pública referente ao 2026.,0
"Gostaria de obter informações sobre o benefício da minha mãe José Alves Souza, CPF 901.844.045-09.",1
Meu nome é Amanda Martins Batista e meu CPF é 232.706.746-43. Solicito informações sobre meu processo administrativo nº 44023/2023.,1
"Me chamo Valentina Souza Lima, portador do CPF 049.742.623-43 e RG 76.947.249-1. Endereço: Qd das Acácias, nº 4040, Sobradinho, Brasília-DF - CEP 72924-668. Telefone: (91) 994477-8749. Gostaria de informações.",1
"Me chamo Davi Lima Pinto, CPF 336.602.237-00 e RG 94.036.439-X. Peço informações sobre meu benefício.",1
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Erradicação do Trabalho Infantil no ano de 2022.,0
Gostaria de obter a folha de pagamento consolidada da Instituto de Previdência do DF referente a fevereiro de 2022.,0
"Peço informações sobre o cadastro do meu dependente Felipe Bezerra Torres, CPF 793.746.150-02, data nasc. 16/06/2002.",1
"Solicito informações sobre o processo do meu pai Priscila Ribeiro Rodrigues, CPF 950.885.243-74, RG 52.507.118-5.",1
Gostaria de obter a relação de passagens aéreas adquiridas pela Secretaria de Saúde do DF em 2021.,0
Peço acesso aos indicadores de desempenho da Secretaria de Esporte e Lazer.,0
Gostaria de obter a folha de pagamento consolidada da Companhia de Saneamento Ambiental referente a fevereiro de 2021.,0
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Erradicação do Trabalho Infantil no ano de 2020.,0
"Gostaria de exercer meu direito ao esquecimento. CPF: 756.302.224-49, Nome: Caleb Moreira Costa.",1
"Solicito correção de dados cadastrais. Nome: Isabela Rodrigues Campos, CPF: 671.984.430-01. Dados incorretos no sistema.",1
"Gostaria de alterar meu email cadastrado. Nome: Rodrigo Teixeira Andrade, CPF: 510.955.564-87. Novo email: rodrigo@hotmail.com.",1
Peço acesso ao projeto executivo da obra Reforma da Escola Pública.,0
Meu nome é Carolina Correia Araújo e meu CPF é 536.272.930-61. Solicito informações sobre meu processo administrativo nº 93465/2024.,1
"Gostaria de obter informações sobre o benefício da minha mãe Bruno Dias Batista, CPF 450.695.699-02.",1
"Gostaria de alterar meu email cadastrado. Nome: Bruno Alves Mendes, CPF: 315.266.739-67. Novo email: bruno@gmail.com.",1
Solicito informações sobre o atendimento na Tribunal de Contas do DF no ano de 2025.,0
"Gostaria de obter informações sobre todos os contratos ativos da Tribunal de Contas do DF com valores superiores a R$ 100.000,00.",0
Solicito informações sobre o planejamento estratégico da Secretaria de Educação do DF.,0
Peço acesso ao projeto executivo da obra Reforma da Escola Pública.,0
Gostaria de obter a relação de passagens aéreas adquiridas pela Secretaria de Esporte e Lazer em 2019.,0
"Solicito correção de dados cadastrais. Nome: João Machado Gomes, CPF: 011.123.460-31. Dados incorretos no sistema.",1
Gostaria de obter o relatório de gestão da Secretaria de Fazenda do DF de 2019.,0
Peço acesso à relação de servidores que receberam gratificação no mês de julho de 2022.,0
Peço acesso aos relatórios de gestão do programa Programa de Atenção Básica.,0
Solicito dados estatísticos sobre o programa Programa de Alfabetização no Distrito Federal.,0
"Meu nome é Tatiane Fernandes Cavalcanti, PIS/PASEP 513.86919.84-7, CPF 064.286.523-07. Solicito informações sobre meu FGTS.",1
Peço acesso ao projeto executivo da obra Reforma da Biblioteca.,0
Peço acesso ao projeto executivo da obra Pavimentação da Avenida Principal.,0
Meu nome é Leonardo Machado Nunes. Contato: (41) 996619-3689 / leonardo@bol.com.br. Gostaria de informações sobre meu processo.,1
Nome: Alice Moreira Andrade. Telefone: (41) 998876-9974. Email: alice@uol.com.br. Solicito informações sobre meu cadastro.,1
"Sou Antônio Alves Fernandes, portador do RG 52.345.680-4 e CPF 983.326.000-49. Gostaria de obter cópia do meu processo.",1
Gostaria de obter o número de beneficiários do programa Cadastro Único em 2025.,0
"Gostaria de alterar meu email cadastrado. Nome: Carolina Lima Machado, CPF: 746.541.973-54. Novo email: carolina@yahoo.com.br.",1
Solicito informações sobre o atendimento na Secretaria de Transporte e Mobilidade no ano de 2023.,0
Solicito informações sobre o resultado da licitação nº 76/2022 realizada pela Departamento de Trânsito.,0
"Meu nome é Bruna Carvalho Nunes, CNH 67123061069, CPF 888.098.460-87. Solicito informações sobre multas de trânsito.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 7/2020.,0
Sou João Torres Teixeira. Telefone para contato: (11) 992201-3315. Email: joao@uol.com.br. Peço informações.,1
Peço acesso aos indicadores de desempenho da Secretaria de Meio Ambiente.,0
Solicito informações sobre o atendimento na Secretaria de Esporte e Lazer no ano de 2020.,0
Nome: Heitor Costa Teixeira. Telefone: (71) 995791-2160. Email: heitor@bol.com.br. Solicito informações sobre meu cadastro.,1
Solicito informações sobre o planejamento estratégico da Secretaria de Desenvolvimento Econômico.,0
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Educação do DF, por cargo e função.",0
"Gostaria de obter informações sobre o benefício da minha mãe Cristina Oliveira Andrade, CPF 225.044.552-40.",1
"Sou Amanda Souza Barbosa, portador do RG 95.007.682-4 e CPF 167.621.632-46. Gostaria de obter cópia do meu processo.",1
Peço acesso à relação de servidores que receberam gratificação no mês de outubro de 2019.,0
"Solicito a exclusão dos meus dados pessoais. Nome: Patrícia Silva Lima, CPF: 982.121.707-99, RG 49.369.037-9.",1
"Solicito a exclusão dos meus dados pessoais. Nome: Mariana Rodrigues Lima, CPF: 638.680.770-73, RG 47.493.211-4.",1
Gostaria de obter dados sobre saúde pública no Distrito Federal.,0
Peço acesso aos gastos com cartão corporativo da Secretaria de Assistência Social.,0
Peço acesso aos documentos de habilitação do vencedor da licitação nº 81/2026.,0
Peço acesso à relação de servidores que receberam gratificação no mês de julho de 2025.,0
Nome: Luiz Costa Monteiro. CPF: 977.267.988-40. Solicito acesso aos meus dados cadastrais no sistema da Secretaria de Desenvolvimento Econômico.,1
Peço acesso às informações sobre a dotação orçamentária do programa Bolsa Família no ano de 2023.,0
Solicito informações sobre o cronograma físico-financeiro da obra Reforma da Escola Pública.,0
"Gostaria de alterar meu email cadastrado. Nome: Bruno Alves Correia, CPF: 989.103.045-88. Novo email: bruno@hotmail.com.",1
Gostaria de obter o relatório de gestão da Secretaria de Fazenda do DF de 2019.,0
"Sou Gustavo Fernandes Batista, CPF 710.032.162-00, RG 63.485.176-X. Telefone: (81) 990293-2135. Email: gustavo@uol.com.br. Moro em Cj das Acácias, nº 9756, Sobradinho, Brasília-DF - CEP 70179-996. Solicito informações sobre meu benefício.",1
Gostaria de obter o número de beneficiários do programa Programa de Combate à Dengue em 2026.,0
"Gostaria de alterar meu email cadastrado. Nome: Antônio Lima Cardoso, CPF: 116.215.702-07. Novo email: antonio@outlook.com.",1
Meu nome é Eliane Cardoso Nascimento e meu CPF é 698.596.426-56. Solicito informações sobre meu processo administrativo nº 51349/2021.,1
Solicito dados estatísticos sobre o programa Minha Casa Minha Vida no Distrito Federal.,0
"Meu nome é Lucas Nascimento Cardoso, PIS/PASEP 173.04631.65-6, CPF 790.183.005-00. Solicito informações sobre meu FGTS.",1
"Dados pessoais: Nome: Daniel Araújo Ramos, CPF: 676.178.491-33, RG: 28.763.159-8, Data Nasc: 02/09/1979. Endereço: Cj W3 Norte, nº 4343, Sudoeste, Brasília-DF - CEP 70474-415. Contato: (31) 999567-7222 / daniel@yahoo.com.br.",1
"Meu nome é Patrícia Pereira Nascimento, CNH 57257482282, CPF 723.486.614-03. Solicito informações sobre multas de trânsito.",1
Sou Priscila Nascimento Nunes. Telefone para contato: (91) 995862-1575. Email: priscila@uol.com.br. Peço informações.,1
Gostaria de obter o número de beneficiários do programa Programa de Combate à Dengue em 2025.,0
"Sou Paulo Correia Moraes, portador do PIS 918.45448.42-3 e CPF 380.969.524-63. Peço informações sobre meu PIS.",1
"Sou Fernanda Ferreira Machado, CPF 974.978.664-51, RG 39.132.614-5. Telefone: (51) 990911-3813. Email: fernanda@yahoo.com.br. Moro em Alameda Brasil, nº 8621, Guará, Brasília-DF - CEP 71233-456. Solicito informações sobre meu benefício.",1
"Gostaria de obter informações sobre todos os contratos ativos da Departamento de Trânsito com valores superiores a R$ 100.000,00.",0
Solicito informações sobre o planejamento estratégico da Departamento de Trânsito.,0
"Sou Valentina Pereira Costa, titular do CPF 576.530.767-18 e título de eleitor nº 600532657459. Gostaria de informações eleitorais.",1
Meu nome é Marcos Vieira Ribeiro e meu CPF é 584.655.361-39. Solicito informações sobre meu processo administrativo nº 88260/2021.,1
Solicito cópia do contrato nº 49759/2020 firmado entre a Defensoria Pública do DF e a empresa Construtora Planalto Ltda.,0
"Solicito correção de dados cadastrais. Nome: Amanda Andrade Costa, CPF: 770.904.756-46. Dados incorretos no sistema.",1
Solicito informações sobre o cronograma físico-financeiro da obra Reforma da Escola Pública.,0
Solicito cópia do contrato nº 66887/2018 firmado entre a Secretaria de Ciência e Tecnologia e a empresa Serviços Integrados.,0
Peço acesso aos termos de referência e edital da licitação nº 2/2026 da Secretaria de Obras do DF.,0
Peço acesso aos termos de referência e edital da licitação nº 52/2019 da Secretaria de Segurança Pública.,0
Gostaria de obter dados sobre educação no Distrito Federal.,0
Peço acesso aos indicadores de desempenho da Instituto de Previdência do DF.,0
"Solicito correção de dados cadastrais. Nome: Ana Almeida Rodrigues, CPF: 488.219.992-03. Dados incorretos no sistema.",1
Gostaria de obter a ata de julgamento da licitação nº 73/2022 da Secretaria de Saúde do DF.,0
"Dados pessoais: Nome: Davi Pereira Freitas, CPF: 705.038.428-34, RG: 45.065.623-2, Data Nasc: 08/09/1978. Endereço: Quadra W3 Sul, nº 5744, Cruzeiro, Brasília-DF - CEP 71513-709. Contato: (11) 993228-8551 / davi@yahoo.com.br.",1
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Saúde do DF.,0
Peço acesso à relação de servidores que receberam gratificação no mês de julho de 2022.,0
"Peço atualização do meu endereço. Nome: Melissa Barbosa Bezerra, CPF: 373.483.399-05. Novo endereço: Rua L2 Sul, nº 6549, Planaltina, Brasília-DF - CEP 72262-939.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 14/2021.,0
"Sou João Freitas Monteiro, titular do CPF 940.175.290-70 e título de eleitor nº 442109551579. Gostaria de informações eleitorais.",1
Peço acesso à relação de servidores que receberam gratificação no mês de julho de 2019.,0
"Me chamo Bruna Lima Batista, portador do CPF 821.738.869-59 e RG 76.781.993-X. Endereço: Av. da Paz, nº 5352, Lago Sul, Brasília-DF - CEP 73236-889. Telefone: (71) 992267-3720. Gostaria de informações.",1
Peço acesso aos gastos com cartão corporativo da Secretaria de Meio Ambiente.,0
Gostaria de obter o número de beneficiários do programa Minha Casa Minha Vida em 2020.,0
"Sou Gabriel Machado Moreira, portador do RG 37.592.421-8 e CPF 315.851.752-34. Gostaria de obter cópia do meu processo.",1
Peço acesso à relação de servidores que receberam gratificação no mês de abril de 2019.,0
"Solicito a exclusão dos meus dados pessoais. Nome: Valentina Cardoso Monteiro, CPF: 970.634.639-26, RG 98.182.909-0.",1
"Dados pessoais: Nome: Heitor Fernandes Rodrigues, CPF: 269.203.813-46, RG: 37.203.730-5, Data Nasc: 03/10/1996. Endereço: Alameda SEPN, nº 9383, Lago Sul, Brasília-DF - CEP 73700-702. Contato: (21) 990153-7954 / heitor@outlook.com.",1
"Me chamo Natália Batista Barbosa, CPF 169.585.563-99 e RG 90.334.826-4. Peço informações sobre meu benefício.",1
Meu nome é Felipe Fernandes Vieira e meu CPF é 139.108.662-71. Solicito informações sobre meu processo administrativo nº 87100/2023.,1
"Sou André Vieira Almeida, portador da CNH nº 58261018072 e CPF 907.810.768-54. Peço informações sobre meu cadastro no DETRAN.",1
"Me chamo Felipe Dias Pinto, CPF 504.772.910-90 e RG 95.965.670-2. Peço informações sobre meu benefício.",1
"Dados pessoais: Nome: Valentina Araújo Pinto, CPF: 416.605.724-36, RG: 60.316.484-7, Data Nasc: 20/06/1972. Endereço: Rua L2 Norte, nº 8715, Asa Norte, Brasília-DF - CEP 72014-843. Contato: (31) 995168-2861 / valentina@hotmail.com.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 36/2020.,0
Solicito cópia do contrato nº 79934/2020 firmado entre a Instituto de Previdência do DF e a empresa Engenharia Brasília.,0
"Solicito a exclusão dos meus dados pessoais. Nome: Amanda Cardoso Ramos, CPF: 000.872.688-41, RG 66.061.839-5.",1
"Me chamo Heitor Pereira Ribeiro, CPF 834.844.157-38, Título de Eleitor 654382058950. Solicito informações sobre minha zona eleitoral.",1
Solicito informações sobre as despesas com diárias da Secretaria de Fazenda do DF no ano de 2025.,0
"Solicito informações detalhadas sobre o orçamento da Secretaria de Meio Ambiente para o exercício de 2026, incluindo despesas com pessoal e custeio.",0
"Sou Francisco Bezerra Batista, portador do RG 44.073.346-4 e CPF 620.889.377-14. Gostaria de obter cópia do meu processo.",1
Peço acesso aos termos de referência e edital da licitação nº 6/2025 da Secretaria de Saúde do DF.,0
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Fazenda do DF, por cargo e função.",0
"Me chamo Helena Freitas Almeida, portador do CPF 349.729.552-36 e RG 17.602.407-2. Endereço: Avenida L2 Norte, nº 9727, Noroeste, Brasília-DF - CEP 72785-139. Telefone: (41) 999505-1564. Gostaria de informações.",1
Gostaria de obter a ata de julgamento da licitação nº 26/2024 da Secretaria de Desenvolvimento Econômico.,0
Nome: Fabio Pereira Cardoso. CPF: 631.975.103-72. Solicito acesso aos meus dados cadastrais no sistema da Departamento de Trânsito.,1
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Atenção Básica no ano de 2025.,0
"Sou Leonardo Oliveira Souza, CPF 676.855.236-80, RG 92.963.464-9. Telefone: (81) 993559-1342. Email: leonardo@outlook.com. Moro em Rua Bahia, nº 9720, Noroeste, Brasília-DF - CEP 72605-397. Solicito informações sobre meu benefício.",1
Solicito informações sobre o planejamento estratégico da Procuradoria-Geral do DF.,0
"Peço informações sobre o cadastro do meu dependente Noah Carvalho Silva, CPF 992.405.051-72, data nasc. 08/08/1985.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 2/2020.,0
Peço acesso aos indicadores de desempenho da Secretaria de Educação do DF.,0
Solicito informações sobre as despesas com diárias da Secretaria de Cultura no ano de 2025.,0
"Dados pessoais: Nome: Larissa Nunes Rodrigues, RG: 27.462.519-4, CPF: 630.249.437-06. Solicito informações sobre minha aposentadoria.",1
"Dados pessoais: Nome: Lorena Batista Cavalcanti, RG: 31.636.616-5, CPF: 666.911.556-37. Solicito informações sobre minha aposentadoria.",1
Peço acesso aos relatórios de gestão do programa Programa de Transporte Escolar.,0
"Sou Enzo Correia Silva, portador do PIS 951.22861.11-2 e CPF 971.160.411-68. Peço informações sobre meu PIS.",1
"Solicito a exclusão dos meus dados pessoais. Nome: Carlos Nunes Reis, CPF: 936.574.858-56, RG 68.587.325-7.",1
Peço acesso ao projeto executivo da obra Reforma do Teatro Municipal.,0
"Sou Eduardo Costa Batista, portador do CPF 654.924.948-13. Gostaria de saber o andamento do meu requerimento.",1
"Me chamo Gustavo Moraes Carvalho, CPF 519.040.105-71, Título de Eleitor 931098999019. Solicito informações sobre minha zona eleitoral.",1
"Peço informações sobre o cadastro do meu dependente Cristina Machado Rodrigues, CPF 877.876.148-46, data nasc. 04/08/1990.",1
Solicito informações sobre o resultado da licitação nº 32/2020 realizada pela Secretaria de Transporte e Mobilidade.,0
"Sou Guilherme Bezerra Rodrigues, portador do PIS 446.89035.61-8 e CPF 206.425.656-35. Peço informações sobre meu PIS.",1
"Peço a anonimização dos meus dados. Dados: Nome Bernardo Araújo Pinto, CPF 867.161.690-83, Email bernardo@outlook.com.",1
"Solicito a exclusão dos meus dados pessoais. Nome: Isabela Machado Freitas, CPF: 598.880.540-07, RG 98.113.830-2.",1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Educação do DF, por cargo e função.",0
"Me chamo Priscila Vieira Martins, CPF 494.710.293-41 e RG 68.998.010-6. Peço informações sobre meu benefício.",1
Solicito cópia do contrato nº 92715/2023 firmado entre a Secretaria de Transporte e Mobilidade e a empresa Tecnologia Avançada.,0
"Me chamo Bianca Nascimento Torres, CPF 937.822.660-48, Título de Eleitor 256818531183. Solicito informações sobre minha zona eleitoral.",1
"Sou Paulo Fernandes Oliveira, portador da CNH nº 00322948835 e CPF 344.826.153-07. Peço informações sobre meu cadastro no DETRAN.",1
"Solicito informações sobre o processo do meu pai Caleb Mendes Rodrigues, CPF 661.215.691-07, RG 08.511.976-X.",1
Gostaria de obter a ata de julgamento da licitação nº 14/2026 da Procuradoria-Geral do DF.,0
"Peço a anonimização dos meus dados. Dados: Nome Brenda Moraes Machado, CPF 149.317.397-92, Email brenda@uol.com.br.",1
Solicito cópia do contrato nº 63352/2021 firmado entre a Secretaria de Assistência Social e a empresa Engenharia Brasília.,0
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Saúde do DF, por cargo e função.",0
Gostaria de obter o relatório de execução orçamentária da Secretaria de Desenvolvimento Econômico referente ao 2020.,0
Solicito cópia do contrato nº 35563/2022 firmado entre a Secretaria de Assistência Social e a empresa Engenharia Brasília.,0
Gostaria de obter a ata de julgamento da licitação nº 35/2023 da Secretaria de Fazenda do DF.,0
Gostaria de obter a folha de pagamento consolidada da Companhia de Saneamento Ambiental referente a março de 2019.,0
"Peço informações sobre o cadastro do meu dependente Rodrigo Monteiro Pinto, CPF 670.496.521-13, data nasc. 17/10/1952.",1
Gostaria de obter o relatório de execução orçamentária da Secretaria de Saúde do DF referente ao 2025.,0
"Solicito informações detalhadas sobre o orçamento da Companhia de Saneamento Ambiental para o exercício de 2025, incluindo despesas com pessoal e custeio.",0
"Meu nome é Antônia Torres Barbosa, CNH 06462788663, CPF 539.005.431-86. Solicito informações sobre multas de trânsito.",1
Peço acesso ao projeto executivo da obra Pavimentação da Avenida Principal.,0
Solicito dados estatísticos sobre o programa Programa de Transporte Escolar no Distrito Federal.,0
"Gostaria de alterar meu email cadastrado. Nome: Lorena Nascimento Araújo, CPF: 716.131.764-90. Novo email: lorena@gmail.com.",1
Peço acesso à relação de servidores que receberam gratificação no mês de outubro de 2023.,0
Peço acesso aos relatórios de gestão do programa Bolsa Família.,0
Peço acesso ao projeto executivo da obra Construção da Ciclovia.,0
Gostaria de obter o número de beneficiários do programa Programa de Habitação em 2026.,0
"Solicito a exclusão dos meus dados pessoais. Nome: Tatiane Monteiro Cardoso, CPF: 238.887.095-04, RG 25.075.362-X.",1
Solicito informações sobre o cronograma físico-financeiro da obra Modernização do Sistema de Esgoto.,0
Gostaria de obter a folha de pagamento consolidada da Secretaria de Obras do DF referente a setembro de 2022.,0
Gostaria de obter a relação de passagens aéreas adquiridas pela Secretaria de Agricultura em 2021.,0
"Sou Henry Freitas Bezerra, portador do RG 24.918.342-2 e CPF 156.715.951-69. Gostaria de obter cópia do meu processo.",1
Peço acesso aos relatórios de gestão do programa Capacitação Profissional.,0
Gostaria de obter dados sobre governo digital no Distrito Federal.,0
"Gostaria de exercer meu direito ao esquecimento. CPF: 588.450.204-44, Nome: Felipe Mendes Cardoso.",1
"Sou Théo Alves Vieira, portador da CNH nº 03378759489 e CPF 865.154.889-39. Peço informações sobre meu cadastro no DETRAN.",1
"Solicito a exclusão dos meus dados pessoais. Nome: Brenda Cardoso Ferreira, CPF: 417.802.563-53, RG 35.547.669-4.",1
Peço acesso aos termos de referência e edital da licitação nº 3/2025 da Secretaria de Segurança Pública.,0
"Peço atualização do meu endereço. Nome: Bianca Machado Ribeiro, CPF: 038.778.579-57. Novo endereço: Avenida das Palmeiras, nº 8068, Brazlândia, Brasília-DF - CEP 70022-206.",1
"Me chamo Larissa Alves Bezerra, portador do CPF 122.444.231-82 e RG 74.688.282-4. Endereço: Qd das Palmeiras, nº 944, Ceilândia, Brasília-DF - CEP 72720-765. Telefone: (11) 999294-4168. Gostaria de informações.",1
Peço acesso à relação de servidores que receberam gratificação no mês de abril de 2025.,0
"Sou Daniel Gomes Costa, portador da CNH nº 86726103156 e CPF 580.441.167-53. Peço informações sobre meu cadastro no DETRAN.",1
Peço acesso aos gastos com cartão corporativo da Secretaria de Obras do DF.,0
Gostaria de obter dados sobre passagens no Distrito Federal.,0
"Dados pessoais: Nome: Brenda Ramos Campos, RG: 91.704.894-X, CPF: 326.218.100-55. Solicito informações sobre minha aposentadoria.",1
Solicito cópia do contrato nº 73963/2026 firmado entre a Tribunal de Contas do DF e a empresa Engenharia Brasília.,0
"Solicito informações detalhadas sobre o orçamento da Secretaria de Obras do DF para o exercício de 2021, incluindo despesas com pessoal e custeio.",0
Gostaria de obter a ata de julgamento da licitação nº 19/2020 da Secretaria de Agricultura.,0
Peço acesso aos documentos de habilitação do vencedor da licitação nº 76/2025.,0
Peço acesso aos indicadores de desempenho da Secretaria de Meio Ambiente.,0
"Gostaria de exercer meu direito ao esquecimento. CPF: 430.238.094-29, Nome: Bruno Souza Cavalcanti.",1
"Me chamo Bruna Nunes Cavalcanti, CPF 647.884.132-48 e RG 89.225.675-0. Peço informações sobre meu benefício.",1
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Leite no ano de 2023.,0
"Gostaria de exercer meu direito ao esquecimento. CPF: 878.536.898-96, Nome: Miguel Santos Carvalho.",1
"Peço atualização do meu endereço. Nome: Francisca Ferreira Campos, CPF: 368.610.064-91. Novo endereço: Conjunto Comercial, nº 6110, Riacho Fundo, Brasília-DF - CEP 72548-831.",1
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Educação do DF.,0
"Me chamo Ricardo Machado Araújo, CPF 253.890.749-71 e RG 97.853.133-3. Peço informações sobre meu benefício.",1
