pedido,contem_dados_pessoais
Sou Karina Torres Rodrigues. Telefone para contato: (21) 999809-1870. Email: karina@bol.com.br. Peço informações.,1
PIS: 621.32261.25-3. Solicito informações sobre meu PIS.,1
"Me chamo João Correia Moraes, portador do CPF 011.639.399-86 e RG 73.492.555-3. Endereço: Rua Beira Rio, nº 4621, Sobradinho, Brasília-DF - CEP 73598-166. Telefone: (81) 994195-4211. Gostaria de informações.",1
Protocolo: 28542424116. Solicito andamento do processo.,0
"Sou Camila Monteiro Mendes, titular do CPF 193.803.760-06 e título de eleitor nº 066471833140. Gostaria de informações eleitorais.",1
"Solicito informações sobre o processo do meu pai Luiz Andrade Freitas, CPF 085.582.999-00, RG 67.406.996-9.",1
Meu nome é João Araújo Teixeira. Solicito informações sobre meu processo.,1
Solicito informações sobre a licitação nº 64/2021.,0
"Peço a anonimização dos meus dados. Dados: Nome Karina Freitas Nunes, CPF 534.737.630-98, Email karina@gmail.com.",1
"Contato do setor: 99999-9999 (ramal), para dúvidas gerais.",0
Meu nome é Beatriz Ribeiro Rodrigues. Solicito informações sobre meu processo.,1
Nome: Tiago Araújo Ferreira. CPF: 055.854.639-00. Solicito acesso aos meus dados cadastrais no sistema da Companhia de Saneamento Ambiental.,1
Solicito informações sobre a frota oficial e manutenção.,0
Nome: Gustavo Martins Martins. Solicito acesso aos meus dados cadastrais.,1
"Sou Lúcia Rodrigues Teixeira, titular do CPF 499.208.654-35 e título de eleitor nº 578500394421. Gostaria de informações eleitorais.",1
"Sou Felipe Silva Rodrigues, portador do RG 68.549.307-1 e CPF 857.266.552-81. Gostaria de obter cópia do meu processo.",1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Transporte e Mobilidade, por cargo e função.",0
Gostaria de obter a folha de pagamento consolidada da Secretaria de Transporte e Mobilidade referente a março de 2021.,0
"Dados pessoais: Nome Carla Ribeiro Nunes, CPF 949.985.490-81, Email carla.nunes@uol.com.br. Solicito anonimização.",1
"Sou Felipe Rodrigues Barbosa, titular do CPF 710.355.845-06 e título de eleitor nº 252878488801. Solicito informações eleitorais.",1
"Gostaria de obter informações sobre todos os contratos ativos da Secretaria de Obras do DF com valores superiores a R$ 100.000,00.",0
Contato: (88) 94859-6187. Solicito retorno.,1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Educação do DF, por cargo e função.",0
Telefone: 27 91246 1872. Solicito retorno.,1
"Solicito a exclusão dos meus dados pessoais. Nome: Carlos Silva Gomes, CPF: 679.839.719-07, RG 28.501.106-5.",1
CNPJ do órgão: 12.345.678/0001-90 (informação institucional).,0
Me chamo Rafael Carvalho Vieira. Solicito acesso aos autos do meu processo SEI.,1
Peço acesso aos indicadores de desempenho da Instituto de Previdência do DF.,0
IPTU nº 579980174. Solicito planta do imóvel (sem dados pessoais).,0
Sou Alice Correia Andrade. Telefone para contato: (11) 998270-2632. Email: alice@yahoo.com.br. Peço informações.,1
Solicito informações sobre a licitação nº 112/2022.,0
CNPJ do órgão: 12.345.678/0001-90 (informação institucional).,0
"Dados pessoais: Nome Maria Santos Ribeiro, CPF 626.755.386-80, Email maria.ribeiro@outlook.com. Solicito anonimização.",1
Contato: (76) 90717-8779. Solicito retorno.,1
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Meio Ambiente.,0
Gostaria de obter a relação de passagens aéreas adquiridas pela Secretaria de Agricultura em 2021.,0
Gostaria de obter a ata de julgamento da licitação nº 95/2019 da Companhia de Saneamento Ambiental.,0
PIS/PASEP 599.47576.37-9. Solicito atualização cadastral.,1
"Peço informações sobre o cadastro do meu dependente Priscila Lima Cardoso, CPF 437.926.027-50, data nasc. 07/05/1993.",1
Meu nome é Mariana Martins Costa. Solicito informações sobre meu processo.,1
"Peço atualização do meu endereço. Nome: Vanessa Carvalho Martins, CPF: 084.642.415-00. Novo endereço: Rua Minas Gerais, nº 2156, Guará, Brasília-DF - CEP 70240-571.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 8/2020.,0
Me chamo Rafael Costa Gomes. Solicito acesso aos autos do meu processo SEI.,1
Solicito dados estatísticos sobre o programa Saúde da Família no Distrito Federal.,0
Peço acesso aos termos de referência e edital da licitação nº 57/2025 da Secretaria de Educação do DF.,0
Sou Luiz Santos Martins. Telefone para contato: (61) 990005-7718. Email: luiz@yahoo.com.br. Peço informações.,1
Peço acesso aos indicadores de desempenho da Secretaria de Obras do DF.,0
"Endereço: Rua das Flores, Santa Maria, Brasília-DF. CEP 93621-324. Solicito atualização cadastral.",1
Solicito informações sobre a frota oficial e manutenção.,0
"Meu nome é Mariana Martins Silva, CNH 82537354871, CPF 510.397.441-09. Solicito informações sobre multas de trânsito.",1
"Peço atualização do meu endereço. Nome: Laura Dias Torres, CPF: 095.782.829-23. Novo endereço: Avenida das Flores, nº 9626, Recanto das Emas, Brasília-DF - CEP 72407-137.",1
Documento/Empenho Nº 2025NE42744. Solicito confirmação de recebimento.,0
Me chamo Beatriz Souza Ferreira. Solicito acesso aos autos do meu processo SEI.,1
Meu nome é Larissa Ribeiro Lima. Solicito informações sobre meu processo.,1
Solicito dados estatísticos sobre o programa Programa de Habitação no Distrito Federal.,0
Solicito ocorrência atendida pelo CBMDF de nº 2022318877886666.,0
Documento/Empenho Nº 2025NE85722. Solicito confirmação de recebimento.,0
Protocolo: 96321658170. Solicito andamento do processo.,0
Nota fiscal: 28412528647. Solicito dados consolidados.,0
Solicito informações sobre o cronograma físico-financeiro da obra Modernização do Sistema de Esgoto.,0
Solicito ocorrência atendida pelo CBMDF de nº 2001428746958884.,0
IPTU nº 546464236. Solicito planta do imóvel (sem dados pessoais).,0
Peço acesso às informações sobre a dotação orçamentária do programa Cadastro Único no ano de 2021.,0
Peço acesso aos gastos com cartão corporativo da Secretaria de Fazenda do DF.,0
Gostaria de obter a relação de passagens aéreas adquiridas pela Secretaria de Assistência Social em 2019.,0
Peço acesso à relação de servidores que receberam gratificação no mês de setembro de 2024.,0
Nota fiscal: 41691420844. Solicito dados consolidados.,0
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Leite no ano de 2021.,0
"Peço atualização do meu endereço. Nome: Yasmin Reis Fernandes, CPF: 498.582.178-03. Novo endereço: Conjunto São Paulo, nº 4635, Noroeste, Brasília-DF - CEP 72038-510.",1
Meu nome é Bruno Campos Carvalho e meu CPF é 468.121.989-43. Solicito informações sobre meu processo administrativo nº 32330/2025.,1
"Sou Vanessa Freitas Barbosa, portador da CNH nº 33410966117 e CPF 891.990.481-24. Peço informações sobre meu cadastro no DETRAN.",1
"Sou Yasmin Gomes Oliveira, portador do RG 90.082.663-X e CPF 561.856.239-19. Gostaria de obter cópia do meu processo.",1
Contato: (68) 90207-9270. Solicito retorno.,1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 46/2020.,0
"Meu nome é João Lima Araújo, PIS/PASEP 670.32272.23-3, CPF 173.293.940-33. Solicito informações sobre meu FGTS.",1
Nota fiscal: 24960447331. Solicito dados consolidados.,0
Telefone: 24 90056 6459. Solicito retorno.,1
Por qual motivo o Processo SEI nº 40835-18896606/2021-64 não foi atendido até o presente momento?,0
Nota fiscal: 86659038076. Solicito dados consolidados.,0
"Sou Adriana Souza Nascimento, portador do RG 44.136.711-5 e CPF 413.512.690-11. Gostaria de obter cópia do meu processo.",1
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Desenvolvimento Econômico.,0
"Gostaria de obter informações sobre o benefício da minha mãe Débora Barbosa Bezerra, CPF 544.020.642-60.",1
Sou Débora Reis Monteiro. Telefone para contato: (91) 998334-6089. Email: debora@yahoo.com.br. Peço informações.,1
Meu nome é Théo Freitas Cavalcanti e meu CPF é 920.015.772-65. Solicito informações sobre meu processo administrativo nº 94829/2018.,1
Solicito informações sobre a licitação nº 92/2022.,0
"Contato do setor: 99999-9999 (ramal), para dúvidas gerais.",0
"Meu nome é Felipe Silva Vieira, PIS/PASEP 000.53200.76-0, CPF 994.245.889-17. Solicito informações sobre meu FGTS.",1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Segurança Pública, por cargo e função.",0
IPTU nº 312991386. Solicito planta do imóvel (sem dados pessoais).,0
Gostaria de obter a ata de julgamento da licitação nº 24/2025 da Secretaria de Educação do DF.,0
Peço acesso aos gastos com cartão corporativo da Tribunal de Contas do DF.,0
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Agricultura.,0
IPTU nº 311092153. Solicito planta do imóvel (sem dados pessoais).,0
Inscrição 810699-9. Solicito histórico de consumo (sem dados pessoais).,0
Documento/Empenho Nº 2026NE63233. Solicito confirmação de recebimento.,0
Peço acesso aos relatórios de gestão do programa Programa de Leite.,0
CPF: 405 464 985 82. Solicito informações.,1
"Sou Luiz Cavalcanti Souza, portador da CNH nº 16238627853 e CPF 895.684.666-90. Peço informações sobre meu cadastro no DETRAN.",1
"Me chamo Luiz Correia Campos, CPF 851.153.347-80, Título de Eleitor 523610487248. Solicito informações sobre minha zona eleitoral.",1
"Solicito informações detalhadas sobre o orçamento da Companhia de Saneamento Ambiental para o exercício de 2025, incluindo despesas com pessoal e custeio.",0
"Meu nome é Luiz Ferreira Ramos, CNH 96373310121, CPF 807.125.619-60. Solicito informações sobre multas de trânsito.",1
Por qual motivo o Processo SEI nº 25950-39783685/2008-27 não foi atendido até o presente momento?,0
Solicito informações sobre as despesas com diárias da Secretaria de Cultura no ano de 2025.,0
Meu nome é Samuel Gomes Pinto. Contato: (61) 995302-1327 / samuel@outlook.com. Gostaria de informações sobre meu processo.,1
"Sou Théo Bezerra Ribeiro, portador do RG 81.528.945-2 e CPF 851.576.070-32. Gostaria de obter cópia do meu processo.",1
Me chamo Paulo Oliveira Santos. Solicito acesso aos autos do meu processo SEI.,1
CPF: 146.023.535-50. Solicito informações sobre meu cadastro.,1
Data do evento: 01/01/2026. Solicito agenda.,0
Nota fiscal: 38618857430. Solicito dados consolidados.,0
Peço informações sobre o calendário de audiências públicas.,0
Nome: Paulo Andrade Ferreira. CPF: 315.166.906-99. Solicito acesso aos meus dados cadastrais no sistema da Secretaria de Assistência Social.,1
ID do contrato: 80909987. Solicito aditivos.,0
Número Interno 02444788405. Solicito esclarecimentos.,0
"Solicito correção de dados cadastrais. Nome: Arthur Torres Andrade, CPF: 843.105.099-32. Dados incorretos no sistema.",1
Data do evento: 01/01/2026. Solicito agenda.,0
"Meu nome é Pedro Barbosa Teixeira, CNH 35244176679, CPF 894.793.320-19. Solicito informações sobre multas de trânsito.",1
CPF: 931 200 153 18. Solicito informações.,1
Solicito a exclusão dos meus dados pessoais. Nome: Carla Martins Cardoso.,1
Peço acesso aos gastos com cartão corporativo da Secretaria de Saúde do DF.,0
IPTU nº 132388986. Solicito planta do imóvel (sem dados pessoais).,0
Gostaria de obter o relatório de execução orçamentária da Controladoria-Geral do DF referente ao 2024.,0
IPTU nº 822444972. Solicito planta do imóvel (sem dados pessoais).,0
"Me chamo Leonardo Fernandes Bezerra, CPF 371.307.556-52 e RG 60.052.462-7. Peço informações sobre meu benefício.",1
Contato: (55) 91681-2964. Solicito retorno.,1
Nota fiscal: 00848973635. Solicito dados consolidados.,0
"Peço atualização do meu endereço. Nome: Ana Nunes Moreira, CPF: 230.614.349-84. Novo endereço: Av. Brasil, nº 3482, Sobradinho, Brasília-DF - CEP 71854-626.",1
Nome: João Cardoso Barbosa. Telefone: (51) 998809-8765. Email: joao@yahoo.com.br. Solicito informações sobre meu cadastro.,1
Por qual motivo o Processo SEI nº 77666-78695147/2005-21 não foi atendido até o presente momento?,0
Peço acesso aos indicadores de desempenho da Secretaria de Transporte e Mobilidade.,0
Contato: (63) 96515-2669. Solicito retorno.,1
Nome: Pedro Teixeira Araújo. Solicito acesso aos meus dados cadastrais.,1
"Solicito o quantitativo de penalidades administrativas/disciplinares aplicadas a servidores militares, por sanção (advertência, suspensão, demissão, prisão, etc) no ano 2022.",0
Solicito ocorrência atendida pelo CBMDF de nº 2013714401172529.,0
"Meu nome é Pedro Nunes Machado, CNH 92008687264, CPF 015.538.531-30. Solicito informações sobre multas de trânsito.",1
Solicito ocorrência atendida pelo PMDF de nº 2020464715843480.,0
Solicito ocorrência atendida pelo CBMDF de nº 2003487857165651.,0
Sou Ana Moraes Mendes. Telefone para contato: (61) 996875-6065. Email: ana@hotmail.com. Peço informações.,1
Protocolo: 25798382564. Solicito andamento do processo.,0
"Contato do setor: 99999-9999 (ramal), para dúvidas gerais.",0
Por qual motivo o Processo SEI nº 34054-88518725/2007-24 não foi atendido até o presente momento?,0
"Sou Antônio Lima Freitas, portador do CPF 298.495.230-85. Gostaria de saber o andamento do meu requerimento.",1
"Dados pessoais: Nome Pedro Santos Pereira, CPF 277.561.853-74, Email pedro.pereira@uol.com.br. Solicito anonimização.",1
Documento/Empenho Nº 2025NE40733. Solicito confirmação de recebimento.,0
"Solicito correção de dados cadastrais. Nome: Ana Freitas Carvalho, CPF: 870.781.592-17. Dados incorretos no sistema.",1
Gostaria de obter o relatório de execução orçamentária da Secretaria de Cultura referente ao 2023.,0
Solicito ocorrência atendida pelo PMDF de nº 2001961462662592.,0
"Dados pessoais: Nome: Bruno Ribeiro Rodrigues, RG: 69.728.083-0, CPF: 719.879.004-64. Solicito informações sobre minha aposentadoria.",1
"Gostaria de alterar meu email cadastrado. Nome: Isabela Fernandes Alves, CPF: 240.183.171-15. Novo email: isabela@uol.com.br.",1
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Leite no ano de 2021.,0
Número Interno 41015469484. Solicito esclarecimentos.,0
Gostaria de obter dados sobre folha de pagamento no Distrito Federal.,0
Solicito ocorrência atendida pelo PMDF de nº 2018429838972170.,0
Solicito informações sobre o resultado da licitação nº 51/2020 realizada pela Secretaria de Agricultura.,0
"Endereço: Rua do Sol, Planaltina, Brasília-DF. CEP 62922-880. Solicito atualização cadastral.",1
"Sou Gustavo Gomes Cardoso, titular do CPF 982.119.776-05 e título de eleitor nº 461820756175. Solicito informações eleitorais.",1
"Sou Fabio Silva Machado, portador do PIS 897.23196.01-8 e CPF 971.675.394-22. Peço informações sobre meu PIS.",1
Meu e-mail é felipe.oliveira [arroba] uol.com.br. Solicito acesso às minhas informações.,1
Meu e-mail é mariana.ribeiro [arroba] yahoo.com.br. Solicito acesso às minhas informações.,1
Peço informações sobre o calendário de audiências públicas.,0
"Solicito informações sobre o quadro de servidores lotados na Procuradoria-Geral do DF, por cargo e função.",0
"Me chamo Ricardo Mendes Bezerra, CPF 002.631.420-78 e RG 33.243.023-5. Peço informações sobre meu benefício.",1
"Sou Yasmin Souza Pinto, portador da CNH nº 34230440841 e CPF 789.090.361-84. Peço informações sobre meu cadastro no DETRAN.",1
Sou João Costa Ferreira. Telefone para contato: (81) 990942-3269. Email: joao@hotmail.com. Peço informações.,1
Protocolo: 91795666509. Solicito andamento do processo.,0
"Meu nome é Marcos Moreira Martins, CNH 61601637675, CPF 426.321.691-19. Solicito informações sobre multas de trânsito.",1
"Gostaria de obter informações sobre o benefício da minha mãe Ana Cavalcanti Correia, CPF 782.909.052-11.",1
"Sou Rafael Cardoso Souza, titular do CPF 923.331.351-40 e título de eleitor nº 976768673392. Solicito informações eleitorais.",1
PIS/PASEP 039.99787.55-6. Solicito atualização cadastral.,1
IPTU nº 860319533. Solicito planta do imóvel (sem dados pessoais).,0
Peço acesso aos indicadores de desempenho da Secretaria de Transporte e Mobilidade.,0
"Peço atualização do meu endereço. Nome: Ricardo Nunes Andrade, CPF: 222.692.881-22. Novo endereço: Avenida W3 Norte, nº 5472, Recanto das Emas, Brasília-DF - CEP 71200-145.",1
Peço informações sobre o calendário de audiências públicas.,0
"Meu endereço é Travessa Beira Rio, nº 7478. Solicito atualização.",1
Meu e-mail é juliana.nunes (at) uol.com.br. Solicito acesso às minhas informações.,1
"Gostaria de exercer meu direito ao esquecimento. CPF: 941.844.265-57, Nome: Larissa Fernandes Cardoso.",1
"Dados pessoais: Nome: Francisco Gomes Monteiro, RG: 45.845.070-3, CPF: 388.061.774-00. Solicito informações sobre minha aposentadoria.",1
"Meu nome é Enzo Souza Carvalho, CNH 20015039484, CPF 418.171.348-25. Solicito informações sobre multas de trânsito.",1
E-mail: gustavo.pereira@yahoo.com.br. Solicito acesso às minhas informações.,1
Peço acesso à relação de servidores que receberam gratificação no mês de novembro de 2021.,0
"Meu endereço é Rua das Flores, nº 4365. Solicito atualização.",1
"Sou Rodrigo Freitas Correia, titular do CPF 889.207.403-21 e título de eleitor nº 924554433073. Gostaria de informações eleitorais.",1
"Sou Luiz Araújo Ribeiro, titular do CPF 740.280.482-81 e título de eleitor nº 343122007393. Gostaria de informações eleitorais.",1
Nome: Daniel Moraes Correia. Telefone: (21) 991356-3141. Email: daniel@outlook.com. Solicito informações sobre meu cadastro.,1
"Sou Isabela Torres Moraes, CPF 545.526.830-98, RG 28.258.945-2. Telefone: (31) 999892-6852. Email: isabela@uol.com.br. Moro em Cj Principal, nº 9590, Gama, Brasília-DF - CEP 72922-753. Solicito informações sobre meu benefício.",1
"Dados pessoais: Nome: Daniel Souza Andrade, CPF: 186.715.466-83, RG: 44.686.156-X, Data Nasc: 12/10/1991. Endereço: Quadra Principal, nº 4205, Asa Sul, Brasília-DF - CEP 72695-494. Contato: (31) 997605-1110 / daniel@bol.com.br.",1
Solicito informações sobre o planejamento estratégico da Secretaria de Cultura.,0
Nome: Juliana Araújo Batista. CPF: 943.977.929-25. Solicito acesso aos meus dados cadastrais no sistema da Secretaria de Cultura.,1
"Sou Gisele Gomes Costa, CPF 788.034.664-36, RG 18.731.520-2. Telefone: (81) 999201-7331. Email: gisele@yahoo.com.br. Moro em Rua EQN, nº 5383, Sobradinho, Brasília-DF - CEP 71933-523. Solicito informações sobre meu benefício.",1
Solicito ocorrência atendida pelo CBMDF de nº 2018124584496898.,0
"Solicito a exclusão dos meus dados pessoais. Nome: Carlos Cardoso Nunes, CPF: 257.832.814-50, RG 98.091.512-7.",1
"Me chamo Bruno Teixeira Nunes, CPF 148.494.914-56 e RG 55.444.406-8. Peço informações sobre meu benefício.",1
Solicito a exclusão dos meus dados pessoais. Nome: Felipe Costa Almeida.,1
"Dados pessoais: Nome Gustavo Teixeira Ribeiro, CPF 574.820.328-60, Email gustavo.ribeiro@yahoo.com.br. Solicito anonimização.",1
Gostaria de obter a folha de pagamento consolidada da Secretaria de Educação do DF referente a julho de 2026.,0
Contato: (86) 94372-9288. Solicito retorno.,1
Gostaria de obter dados sobre folha de pagamento no Distrito Federal.,0
Meu nome é Camila Nunes Nunes. Solicito informações sobre meu processo.,1
Solicito a exclusão dos meus dados pessoais. Nome: Paulo Ribeiro Lima.,1
"Gostaria de obter informações sobre todos os contratos ativos da Defensoria Pública do DF com valores superiores a R$ 100.000,00.",0
Peço acesso aos termos de referência e edital da licitação nº 89/2020 da Secretaria de Transporte e Mobilidade.,0
"Sou Rafael Batista Cardoso, CPF 991.429.728-50, RG 00.327.395-9. Telefone: (21) 994707-2007. Email: rafael@hotmail.com. Moro em Qd Brasil, nº 9636, Taguatinga, Brasília-DF - CEP 71921-245. Solicito informações sobre meu benefício.",1
Protocolo: 02069676672. Solicito andamento do processo.,0
"Sou Rafael Gomes Vieira, titular do CPF 406.219.335-38 e título de eleitor nº 533467704798. Gostaria de informações eleitorais.",1
"Meu nome é Camila Gomes Carvalho, PIS/PASEP 789.15622.37-3, CPF 863.019.397-27. Solicito informações sobre meu FGTS.",1
"Meu nome é Beatriz Rodrigues Almeida, PIS/PASEP 884.39333.24-3, CPF 202.351.025-20. Solicito informações sobre meu FGTS.",1
"Meu endereço é Rua das Flores, nº 4048. Solicito atualização.",1
Solicito ocorrência atendida pelo PMDF de nº 2002484876939852.,0
Peço acesso aos indicadores de desempenho da Tribunal de Contas do DF.,0
Por qual motivo o Processo SEI nº 49266-69623313/2025-67 não foi atendido até o presente momento?,0
Por qual motivo o Processo SEI nº 53856-00489767/2024-93 não foi atendido até o presente momento?,0
Nome: Pedro Araújo Souza. Solicito acesso aos meus dados cadastrais.,1
Peço acesso aos termos de referência e edital da licitação nº 21/2024 da Secretaria de Meio Ambiente.,0
"Meu nome é Eduardo Teixeira Oliveira, PIS/PASEP 083.02368.86-9, CPF 840.676.310-81. Solicito informações sobre meu FGTS.",1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 37/2026.,0
CNPJ do órgão: 12.345.678/0001-90 (informação institucional).,0
ID do contrato: 57975519. Solicito aditivos.,0
Meu nome é Pedro Ribeiro Rodrigues. Solicito informações sobre meu processo.,1
Solicito informações sobre o atendimento na Departamento de Trânsito no ano de 2026.,0
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Esporte e Lazer.,0
Meu nome é Felipe Vieira Almeida. Contato: (61) 998290-5805 / felipe@bol.com.br. Gostaria de informações sobre meu processo.,1
"Me chamo Yasmin Araújo Ferreira, portador do CPF 801.663.866-00 e RG 92.481.794-4. Endereço: Av. do Sol, nº 5932, Brazlândia, Brasília-DF - CEP 71159-754. Telefone: (21) 999448-4153. Gostaria de informações.",1
Solicito ocorrência atendida pelo PMDF de nº 2007345503994484.,0
Número Interno 58798911269. Solicito esclarecimentos.,0
CNPJ do órgão: 12.345.678/0001-90 (informação institucional).,0
Solicito ocorrência atendida pelo CBMDF de nº 2026859203064608.,0
Me chamo João Carvalho Ferreira. Solicito acesso aos autos do meu processo SEI.,1
IPTU nº 953319460. Solicito planta do imóvel (sem dados pessoais).,0
ID do contrato: 86378766. Solicito aditivos.,0
"Endereço: Avenida Central, Santa Maria, Brasília-DF. CEP 77588-160. Solicito atualização cadastral.",1
Gostaria de obter o relatório de gestão da Defensoria Pública do DF de 2019.,0
Meu e-mail é joo.nunes (at) uol.com.br. Solicito acesso às minhas informações.,1
Solicito informações sobre o planejamento estratégico da Tribunal de Contas do DF.,0
"Peço a anonimização dos meus dados. Dados: Nome Noah Oliveira Andrade, CPF 939.298.215-16, Email noah@yahoo.com.br.",1
"Me chamo Tatiane Oliveira Pereira, CPF 510.827.284-70, Título de Eleitor 499700083429. Solicito informações sobre minha zona eleitoral.",1
Solicito ocorrência atendida pelo PMDF de nº 2005859538292037.,0
Meu nome é Eduardo Carvalho Araújo. Solicito informações sobre meu processo.,1
Inscrição 390315-2. Solicito histórico de consumo (sem dados pessoais).,0
Nome: Isabela Moraes Andrade. Telefone: (51) 999511-5381. Email: isabela@gmail.com. Solicito informações sobre meu cadastro.,1
"Solicito acesso integral aos autos do Processo SEI 75847-21438730/2010-58, com urgência.",0
Meu nome é Rafael Rodrigues Ribeiro. Contato: (21) 999545-6300 / rafael@outlook.com. Gostaria de informações sobre meu processo.,1
Gostaria de obter dados sobre cotas parlamentares no Distrito Federal.,0
Contato: (27) 93193-5350. Solicito retorno.,1
Solicito informações sobre as despesas com diárias da Secretaria de Saúde do DF no ano de 2021.,0
"Peço atualização do meu endereço. Nome: Théo Ferreira Pereira, CPF: 254.178.263-24. Novo endereço: Cj SIG, nº 6901, Cruzeiro, Brasília-DF - CEP 71236-589.",1
Gostaria de obter a folha de pagamento consolidada da Secretaria de Assistência Social referente a maio de 2024.,0
"Me chamo Miguel Campos Lima, portador do CPF 483.288.982-68 e RG 78.718.392-1. Endereço: Quadra SIG, nº 1105, Gama, Brasília-DF - CEP 72709-904. Telefone: (91) 995497-2187. Gostaria de informações.",1
"Peço a anonimização dos meus dados. Dados: Nome Guilherme Lima Cavalcanti, CPF 033.147.259-73, Email guilherme@hotmail.com.",1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Segurança Pública, por cargo e função.",0
"Sou Felipe Campos Vieira, portador do PIS 194.59660.92-3 e CPF 827.721.951-20. Peço informações sobre meu PIS.",1
"Meu nome é Rodrigo Araújo Vieira, CNH 28787570302, CPF 772.659.764-01. Solicito informações sobre multas de trânsito.",1
Solicito cópia do contrato nº 73905/2026 firmado entre órgãos do DF.,0
Me chamo Luciana Cardoso Martins. Solicito acesso aos autos do meu processo SEI.,1
CPF: 556.269.655-05. Solicito informações sobre meu cadastro.,1
Solicito informações sobre o resultado da licitação nº 71/2024 realizada pela Secretaria de Agricultura.,0
"Solicito informações sobre o processo do meu pai Noah Carvalho Machado, CPF 214.424.291-78, RG 00.246.189-5.",1
"Sou Felipe Oliveira Teixeira, titular do CPF 382.016.288-70 e título de eleitor nº 963907228303. Solicito informações eleitorais.",1
"Solicito informações detalhadas sobre o orçamento da Defensoria Pública do DF para o exercício de 2022, incluindo despesas com pessoal e custeio.",0
"Peço atualização do meu endereço. Nome: Guilherme Gomes Ramos, CPF: 590.748.755-05. Novo endereço: Travessa CLN, nº 3216, Brazlândia, Brasília-DF - CEP 73020-621.",1
PIS/PASEP 194.91319.98-0. Solicito atualização cadastral.,1
